epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.322,1.83324,2.38306,1.25794,0,0,0,0,nan,nan,nan,0.0702941,0.00330065,0.00330065
2,633.793,1.57831,1.47103,1.14988,0.15393,0.06369,0.04193,0.02197,2.28589,8.96666,1.8952,0.0402937,0.00663358,0.00663358
3,962.28,1.5038,1.35935,1.12096,0.14129,0.08277,0.07298,0.0379,2.07061,4.66236,1.58456,0.0102917,0.00996489,0.00996489
4,1271.73,1.46444,1.27887,1.09437,0.22043,0.25031,0.19971,0.11144,1.59324,1.91895,1.19044,0.0099945,0.0099945,0.0099945
5,1582.21,1.41572,1.20149,1.07825,0.31482,0.30138,0.2589,0.14812,1.4859,1.77155,1.12703,0.00999023,0.00999023,0.00999023
6,1864.35,1.36193,1.13163,1.0598,0.39283,0.31815,0.302,0.17418,1.40785,1.43666,1.08225,0.00998474,0.00998474,0.00998474
7,2209.42,1.33467,1.07755,1.03842,0.37937,0.34539,0.30848,0.1823,1.40587,1.43563,1.07524,0.00997803,0.00997803,0.00997803
8,2528.33,1.31998,1.05517,1.03707,0.45428,0.39596,0.37662,0.2231,1.33453,1.0943,1.05534,0.00997011,0.00997011,0.00997011
9,2845.07,1.29493,1.01866,1.02166,0.45521,0.37746,0.36899,0.21725,1.34379,1.08968,1.05672,0.00996097,0.00996097,0.00996097
10,3163.37,1.2965,0.99989,1.02398,0.48564,0.39566,0.39093,0.23532,1.32425,1.06329,1.04038,0.00995062,0.00995062,0.00995062
11,3470.07,1.27553,0.99267,1.02272,0.5042,0.41149,0.42024,0.25374,1.30386,1.02989,1.02681,0.00993906,0.00993906,0.00993906
12,3800.68,1.28129,0.967,1.01561,0.48181,0.41356,0.41177,0.24356,1.32002,1.05942,1.03334,0.00992629,0.00992629,0.00992629
13,4114.55,1.26169,0.94339,1.00483,0.49638,0.38686,0.39505,0.23852,1.29999,1.03056,1.03575,0.00991232,0.00991232,0.00991232
14,4417.59,1.2423,0.93237,0.99998,0.50912,0.43881,0.43968,0.26721,1.26796,0.96097,1.0173,0.00989715,0.00989715,0.00989715
15,4738.85,1.24228,0.9297,0.99909,0.51916,0.43506,0.44327,0.27001,1.25712,0.97202,1.01396,0.00988079,0.00988079,0.00988079
16,5056.41,1.23275,0.91264,1.00333,0.54379,0.44723,0.46465,0.28458,1.24375,0.93565,1.0106,0.00986323,0.00986323,0.00986323
17,5363.67,1.23285,0.90903,0.99641,0.52714,0.42937,0.44166,0.27369,1.24232,0.95623,1.00893,0.00984449,0.00984449,0.00984449
18,5663.57,1.20672,0.8828,0.99379,0.56643,0.45706,0.48425,0.30069,1.21136,0.89078,0.99627,0.00982456,0.00982456,0.00982456
19,5987.25,1.21043,0.87761,0.99335,0.54168,0.45117,0.46245,0.2855,1.22492,0.92279,1.00018,0.00980345,0.00980345,0.00980345
20,6311.2,1.21523,0.87486,0.99068,0.55194,0.46379,0.47759,0.29225,1.22206,0.8984,0.99538,0.00978118,0.00978118,0.00978118
21,6611.91,1.20059,0.85636,0.98976,0.56824,0.47936,0.50218,0.31112,1.19821,0.86431,0.99207,0.00975773,0.00975773,0.00975773
22,6913.36,1.219,0.85708,0.9812,0.55203,0.47985,0.49405,0.30671,1.2124,0.88648,0.99267,0.00973312,0.00973312,0.00973312
23,7218.33,1.18891,0.85755,0.98476,0.56138,0.47446,0.49068,0.30015,1.21557,0.90183,0.99608,0.00970736,0.00970736,0.00970736
24,7514.92,1.19085,0.855,0.9832,0.58126,0.47806,0.50082,0.31033,1.19506,0.86017,0.98635,0.00968045,0.00968045,0.00968045
25,7847.75,1.19263,0.83932,0.981,0.58068,0.48917,0.51741,0.3219,1.19219,0.84537,0.98496,0.00965239,0.00965239,0.00965239
26,8152.6,1.17679,0.82626,0.97672,0.59538,0.48782,0.51161,0.3195,1.18945,0.8601,0.98658,0.0096232,0.0096232,0.0096232
27,8496.65,1.17111,0.82523,0.97831,0.58825,0.4929,0.51233,0.31968,1.18812,0.84953,0.9849,0.00959289,0.00959289,0.00959289
28,8779.49,1.1736,0.82375,0.97575,0.59138,0.48936,0.51586,0.32505,1.17472,0.83923,0.97921,0.00956145,0.00956145,0.00956145
29,9140.62,1.17349,0.82014,0.97537,0.59956,0.50553,0.52202,0.32602,1.17853,0.83207,0.98188,0.00952889,0.00952889,0.00952889
30,9425.43,1.16799,0.81049,0.97555,0.59613,0.49255,0.51858,0.32644,1.1738,0.82799,0.97955,0.00949524,0.00949524,0.00949524
31,9727.61,1.16831,0.8132,0.97094,0.60393,0.49173,0.52255,0.32734,1.18426,0.83515,0.98421,0.00946048,0.00946048,0.00946048
32,10049.8,1.16174,0.80315,0.97365,0.59836,0.50329,0.53074,0.33624,1.15545,0.81324,0.97181,0.00942464,0.00942464,0.00942464
33,10363.1,1.15662,0.79568,0.9714,0.60681,0.50686,0.53657,0.33728,1.16764,0.81421,0.97794,0.00938772,0.00938772,0.00938772
34,10710.5,1.15457,0.78296,0.97084,0.61516,0.50638,0.53535,0.33536,1.16588,0.81518,0.97568,0.00934973,0.00934973,0.00934973
35,10994.6,1.15975,0.79159,0.96987,0.60143,0.49936,0.52867,0.33294,1.15624,0.83164,0.97662,0.00931067,0.00931067,0.00931067
36,11305.4,1.15597,0.79202,0.97584,0.61479,0.51095,0.53931,0.3415,1.15126,0.82068,0.9698,0.00927057,0.00927057,0.00927057
37,11604.1,1.15206,0.78396,0.96679,0.62833,0.51217,0.54728,0.34654,1.15215,0.80744,0.97064,0.00922942,0.00922942,0.00922942
38,11895.2,1.145,0.77699,0.96633,0.61692,0.51619,0.54599,0.34493,1.14842,0.80645,0.9688,0.00918725,0.00918725,0.00918725
39,12187.4,1.1488,0.77535,0.9637,0.63537,0.5159,0.55019,0.34629,1.15845,0.79557,0.97482,0.00914405,0.00914405,0.00914405
40,12497.9,1.13496,0.76165,0.96197,0.62191,0.51767,0.54914,0.3468,1.14938,0.79329,0.96891,0.00909984,0.00909984,0.00909984
41,12838.9,1.1355,0.75512,0.96215,0.62177,0.52302,0.55021,0.34711,1.14754,0.79284,0.96794,0.00905463,0.00905463,0.00905463
42,13139.7,1.15166,0.76775,0.95398,0.62047,0.5236,0.55149,0.35008,1.14099,0.79213,0.9672,0.00900844,0.00900844,0.00900844
43,13477.4,1.12262,0.74891,0.95412,0.62944,0.51816,0.54717,0.34778,1.14987,0.791,0.97056,0.00896127,0.00896127,0.00896127
44,13774.7,1.12893,0.75911,0.95693,0.6332,0.52811,0.55774,0.35335,1.13951,0.78364,0.96571,0.00891313,0.00891313,0.00891313
45,14139.7,1.12434,0.74759,0.9623,0.64819,0.52483,0.56022,0.35663,1.13536,0.78444,0.96423,0.00886404,0.00886404,0.00886404
46,14469.4,1.13189,0.75463,0.96049,0.6357,0.52469,0.5568,0.35539,1.13732,0.78207,0.96463,0.00881401,0.00881401,0.00881401
47,14775.4,1.1227,0.74014,0.95579,0.62071,0.52721,0.55434,0.3531,1.14032,0.78279,0.96703,0.00876305,0.00876305,0.00876305
48,15076,nan,nan,nan,0.00015,0.00286,9e-05,3e-05,nan,nan,nan,0.00871117,0.00871117,0.00871117
49,15365.4,1.48646,3.14027,1.08527,6e-05,0.00053,3e-05,1e-05,nan,nan,nan,0.00865839,0.00865839,0.00865839
50,15707.8,nan,nan,nan,6e-05,0.00098,3e-05,1e-05,nan,nan,nan,0.00860473,0.00860473,0.00860473
51,16019.2,1.66343,7.02081,1.22986,0.0728,0.04771,0.03342,0.0093,nan,nan,nan,0.00855018,0.00855018,0.00855018
52,16322.4,1.80377,10.0973,1.39848,0.12199,0.01561,0.04644,0.01679,nan,nan,nan,0.00849477,0.00849477,0.00849477
53,16643.4,1.97839,11.2027,1.55851,0.01948,0.00592,0.01011,0.00297,nan,nan,nan,0.00843851,0.00843851,0.00843851
54,16944.6,2.18916,12.5809,2.1342,0.01948,0.00592,0.01011,0.00297,nan,nan,nan,0.00838141,0.00838141,0.00838141
55,17247.4,3.50186,117.259,53.6097,0.60036,0.00107,0.0001,2e-05,nan,nan,nan,0.00832349,0.00832349,0.00832349
56,17545.2,5.12469,43.202,162.569,0.11496,0.00382,0.00117,0.00032,nan,nan,nan,0.00826477,0.00826477,0.00826477
57,17859.9,5.06385,57.6098,109.103,0.00341,0.002,0.00072,0.00019,nan,nan,nan,0.00820525,0.00820525,0.00820525
58,18162.7,5.3936,88.2737,85.2593,0.00215,0.00781,0.00167,0.00037,nan,nan,nan,0.00814495,0.00814495,0.00814495
59,18489,5.55966,109.1,72.1833,0.11391,0.00272,0.00085,0.00024,nan,nan,nan,0.00808389,0.00808389,0.00808389
60,18774.4,5.78444,142.623,63.168,0.10229,0.00177,0.00027,0.0001,nan,nan,nan,0.00802208,0.00802208,0.00802208
61,19089.2,5.81416,101.817,58.5439,0.00268,0.00132,0.00066,0.00017,nan,nan,nan,0.00795954,0.00795954,0.00795954
62,19384.9,5.80046,146.758,60.0914,0.10313,0.0027,0.00085,0.00032,nan,nan,nan,0.00789628,0.00789628,0.00789628
63,19711.2,5.7963,108.682,56.533,0.10355,0.0021,0.00093,0.00022,nan,nan,nan,0.00783231,0.00783231,0.00783231
64,20024.2,5.77008,110.626,65.7228,0.10314,0.00159,0.00072,0.00022,nan,nan,nan,0.00776766,0.00776766,0.00776766
65,20323.3,5.78375,118.674,72.5581,0.00169,0.00213,0.00027,9e-05,nan,nan,nan,0.00770234,0.00770234,0.00770234
